Time,can,PL
-1000000000,can0,434#016860AA5F005900
-1000000000,can0,6E0#015F015C015E015D
-1000000000,can0,1E5#01460405A841A3E0
-1000000000,can0,498#87FFBFFC5E80648B
-1000000000,can0,32D#00000420AC010020
-1000000000,can0,230#FB000002E4000800
-1000000000,can0,2C1#01F3EFC7C99FB63E
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200800000002E180
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,00E#20525602080975F0
-1000000000,can0,162#00080383EA11F4CE
-1000000000,can0,0A7#0010FBA4C12D50A0
-1000000000,can0,69E#044004811FC01582
-1000000000,can0,125#9000415F437D7160
-1000000000,can0,3C1#7B551FBC9C07E92E
-1000000000,can0,6E0#015B015B015E0160
-1000000000,can0,4E7#0000001503670000
-1000000000,can0,153#00000000000C0002
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,295#0000000000001840
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,684#54D677D94154901E
-1000000000,can0,636#249C7980EF840000
-1000000000,can0,2D7#100060D800000008
-1000000000,can0,19C#1E7C200C820028A0
-1000000000,can0,0D0#7A7504645B019100
-1000000000,can0,033#000768000FC007D0
-1000000000,can0,274#00F22FED507C8E41
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0F1#3E101CC00359CC00
-1000000000,can0,3E4#00CC000085000000
-1000000000,can0,354#200800000002E180
-1000000000,can0,5E1#893FE00B0A00D080
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,2E2#18080D4040000118
-1000000000,can0,345#050202C23C774081
-1000000000,can0,430#0032448BEA8011A0
-1000000000,can0,125#9000415F437D5360
-1000000000,can0,0A7#0010F924C12D50A0
-1000000000,can0,130#0001500000000000
-1000000000,can0,03D#0000048000000000
-1000000000,can0,65C#4008E27530000000
-1000000000,can0,577#000008000000014E
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2007A0C93FAFFF
-1000000000,can0,522#DF7FD0007D28001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003D2880000
-1000000000,can0,0D0#027504646A019100
-1000000000,can0,033#0007E0000C0007D0
-1000000000,can0,434#0186C0AA7F106910
-1000000000,can0,6E0#015B015B01610160
-1000000000,can0,498#87FFBFFC5980658C
-1000000000,can0,464#000240000090125C
-1000000000,can0,230#FA000002E4000A00
-1000000000,can0,66C#0000000020000000
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200800000002DA00
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,00E#20525602080975EA
-1000000000,can0,162#00080373EA11F4CE
-1000000000,can0,0A7#0010F824C12D50A0
-1000000000,can0,69E#0440048120001582
-1000000000,can0,125#9000415F437D3560
-1000000000,can0,6E0#015B015A01610162
-1000000000,can0,4FD#11340A4C470A4A88
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#0298200C820028A0
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0D0#0A75046465019500
-1000000000,can0,033#0007D8000C4007D0
-1000000000,can0,274#00F221FB507C8E41
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8094410000488
-1000000000,can0,041#8022002001000000
-1000000000,can0,3C1#7B551FBB9C48A92E
-1000000000,can0,354#200800000002DA00
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#2052560208097602
-1000000000,can0,585#0040000000020018
-1000000000,can0,0A7#0010FAA4C12D50A0
-1000000000,can0,1CA#3FF1FF8000000C28
-1000000000,can0,125#9000415F437D1760
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0C9BFAFFF
-1000000000,can0,522#DF7FD0007CB0001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003CB080000
-1000000000,can0,295#0000000000001840
-1000000000,can0,0D0#1275046464019500
-1000000000,can0,033#0007D0000C8007D0
-1000000000,can0,434#01A600AA8F208930
-1000000000,can0,6E0#015B015A01630162
-1000000000,can0,498#87FFBFFC5580664D
-1000000000,can0,230#F9000002E4000C00
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200840000002C300
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,162#00080373EA11F4CE
-1000000000,can0,0A7#0010FBA4C12D60A0
-1000000000,can0,2A3#0000008412803C10
-1000000000,can0,69E#044004811FC01582
-1000000000,can0,125#9000415F437CF960
-1000000000,can0,6E0#015B015A01630163
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#0694200C820028A0
-1000000000,can0,0D0#1A75046460019800
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,033#0007C8000CC007D0
-1000000000,can0,274#00F223F9507C8E41
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,297#1100002000025110
-1000000000,can0,5AF#20C0000000200000
-1000000000,can0,32D#00000420AC010020
-1000000000,can0,354#200840000002B400
-1000000000,can0,5E1#893FE00B0A00D080
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,6FC#0000075FB2B8E000
-1000000000,can0,0A7#0010FA24C12D60A0
-1000000000,can0,239#00000072E00043A0
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,125#9000415F437CDB60
-1000000000,can0,2B4#14E9740000005800
-1000000000,can0,5B3#0400000000000400
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,3C1#7B551FBADC89292E
-1000000000,can0,03C#000004002D000000
-1000000000,can0,207#040460482ADED518
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0C9BF8FFF
-1000000000,can0,4C9#01F8D5820D03F64B
-1000000000,can0,522#DF7FD0007C38001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,0D0#227504645F019800
-1000000000,can0,033#0007C0000D0007D0
-1000000000,can0,580#00000003C3880000
-1000000000,can0,434#01C640AA9F409940
-1000000000,can0,6E0#015C015A01640163
-1000000000,can0,0D7#0000020080000000
-1000000000,can0,498#87FFBFFC528066CE
-1000000000,can0,1D6#028BC08034740590
-1000000000,can0,577#000008000000014E
-1000000000,can0,230#F8000002E4000E00
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200840000002B400
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,00E#20525602080975F0
-1000000000,can0,162#00080373EA11F4CE
-1000000000,can0,0A7#0010F7A4C12D70A0
-1000000000,can0,497#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0F4#9A0C010204B10240
-1000000000,can0,69E#044004811FC01582
-1000000000,can0,125#9000415F437CBD60
-1000000000,can0,6E0#015C015A01640165
-1000000000,can0,153#00000000000C0002
-1000000000,can0,295#0000000000001840
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#0A94200C020028A0
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0D0#2A7504645C019A00
-1000000000,can0,033#0007B8000D4007D0
-1000000000,can0,274#00F225F7507C8E41
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8094410000488
-1000000000,can0,26E#0106408288EA0A04
-1000000000,can0,354#200840000002AC80
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#2052560208097602
-1000000000,can0,0A7#0010F9A4C12D60A0
-1000000000,can0,2D2#0000080000000000
-1000000000,can0,125#9000415F437C9F60
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,4CB#8000000000000000
-1000000000,can0,280#18E0027000000000
-1000000000,can0,4FD#11330A4C450A4A88
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CA3F8FFF
-1000000000,can0,522#DF7FD0007BC0001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003BC080000
-1000000000,can0,0D0#327504645B019A00
-1000000000,can0,033#0007B0000D8007D0
-1000000000,can0,434#01E5A0AABF50B960
-1000000000,can0,6E0#015A015A01670165
-1000000000,can0,498#87FFBFFC4F80674F
-1000000000,can0,230#F7000002EC001000
-1000000000,can0,3C1#7B551FBADBC9E92E
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#2008400000029D80
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#2052560208097602
-1000000000,can0,162#00080373EA11F4CE
-1000000000,can0,0A7#0010FC24C12D60A0
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,69E#044004811FC01582
-1000000000,can0,125#9000415F437E6160
-1000000000,can0,6E0#015A015A01670167
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#0E90200C020028A0
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0D0#3A75046458019C00
-1000000000,can0,033#0007A8000DC007D0
-1000000000,can0,274#00F227F5507C8E3D
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,354#2008400000029D80
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,28B#0000000000000000
-1000000000,can0,0A7#0010FAA4C12D70A0
-1000000000,can0,00E#2052560208097608
-1000000000,can0,407#50015FF01500BD60
-1000000000,can0,075#0F32000FAE1EE000
-1000000000,can0,125#9000415F437E4360
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CABF8FF7
-1000000000,can0,522#DF7FD0007B48001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003B4880000
-1000000000,can0,295#0000000000001840
-1000000000,can0,0D0#4275046457019C00
-1000000000,can0,033#0007A0000E0007D0
-1000000000,can0,434#020820AACF70C970
-1000000000,can0,6E0#015D015A01680167
-1000000000,can0,498#87FFBFFC5C8067C0
-1000000000,can0,32D#00000420AC010020
-1000000000,can0,230#F6000002EC001200
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#2008400000029600
-1000000000,can0,5E1#893FE00B0A00D080
-1000000000,can0,00E#205256020809760E
-1000000000,can0,162#00080373EA11F4CE
-1000000000,can0,0A7#0010F824C12D80A0
-1000000000,can0,03A#00000000001D0800
-1000000000,can0,69E#044004801FC01562
-1000000000,can0,125#9000415F437E2560
-1000000000,can0,3C1#7B551FBB5ACA692E
-1000000000,can0,2C1#01F34FC7C81FB252
-1000000000,can0,6E0#015D015901680169
-1000000000,can0,4E7#0000001503670000
-1000000000,can0,153#00000000000C0002
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,684#54D677D94154901E
-1000000000,can0,636#249C7980EF840000
-1000000000,can0,2D7#100060D800000008
-1000000000,can0,19C#128C200C020028A0
-1000000000,can0,0D0#4A75046454019E00
-1000000000,can0,033#000798000E4007D0
-1000000000,can0,274#00F229F3507C8E3D
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8098410000488
-1000000000,can0,3E4#00CC000085000000
-1000000000,can0,65C#4008E27530000000
-1000000000,can0,354#2008400000029600
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#2052560208097602
-1000000000,can0,2E2#18080D4040000118
-1000000000,can0,345#050202C23C774081
-1000000000,can0,430#0032448BEA8011A0
-1000000000,can0,125#9000415F437E0760
-1000000000,can0,0A7#0010F8A4C12D70A0
-1000000000,can0,130#0001500000000000
-1000000000,can0,03D#0000048000000000
-1000000000,can0,577#000008000000014E
-1000000000,can0,4EE#A0000D08F04C4008
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CB3F6FF7
-1000000000,can0,522#DF7FD0007AD0001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003AD080000
-1000000000,can0,0D0#5275046453019E00
-1000000000,can0,033#000790000E8007D0
-1000000000,can0,434#022820AAEF80D990
-1000000000,can0,6E0#015D015901690169
-1000000000,can0,498#87FFBFFC5A806801
-1000000000,can0,464#000240000090115D
-1000000000,can0,230#F5000002EC001400
-1000000000,can0,66C#0000000018000000
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#2008400000028700
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#2052560208097602
-1000000000,can0,162#00080363EA11F4CE
-1000000000,can0,0A7#0010FBA4C12D70A0
-1000000000,can0,55C#101B000041823000
-1000000000,can0,69D#808DCFB04FC1FCB1
-1000000000,can0,69E#044004801FC01582
-1000000000,can0,125#9000415F437DE960
-1000000000,can0,4FD#11390A4C4D0B4A88
-1000000000,can0,6E0#015D015A0169016A
-1000000000,can0,153#00000000000C0002
-1000000000,can0,295#0000000000001840
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#1688200C020028A0
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0D0#5A75046451019F00
-1000000000,can0,033#000788000EC007D0
-1000000000,can0,274#00F22BF1507C8E3D
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,419#0A9B464D045FC2CF
-1000000000,can0,3C1#7B551FBBD98B292E
-1000000000,can0,354#200840000002F000
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,585#0040000000020018
-1000000000,can0,0A7#0010FBA4C12D80A0
-1000000000,can0,1CA#3FF1FF8000000C28
-1000000000,can0,5E8#000002040039B000
-1000000000,can0,125#9000415F437DCB60
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CBBF4FFF
-1000000000,can0,522#DF7FD0007A58001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003A5880000
-1000000000,can0,434#024000AAFFA0F9A0
-1000000000,can0,0D0#6275046450019F00
-1000000000,can0,033#000780000F0007D0
-1000000000,can0,6E0#015B015A016A016A
-1000000000,can0,498#87FFBFFC58806842
-1000000000,can0,230#F4000002EC001600
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200840000002F000
-1000000000,can0,5E1#893FE00B0A00D080
-1000000000,can0,00E#20525602080975F0
-1000000000,can0,162#00080363EA11F4CE
-1000000000,can0,0A7#0010F8A4C12D80A0
-1000000000,can0,2A3#0000008412803C10
-1000000000,can0,69E#044004801FC01582
-1000000000,can0,125#9000415F437DAD60
-1000000000,can0,6E0#015B015B016A016A
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#1A84200C020028A0
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0D0#6A7504644E01A000
-1000000000,can0,033#000778000F4007D0
-1000000000,can0,274#00F22DEF507C8E3D
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8098410000488
-1000000000,can0,51B#28B181B189C7F8C1
-1000000000,can0,32D#00000420AC010020
-1000000000,can0,354#200840000002E880
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,6FC#0000075FB2B8E800
-1000000000,can0,0A7#0010F8A4C12D80A0
-1000000000,can0,239#00000071C0004380
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,125#9000415F437D8F60
-1000000000,can0,2B4#14E9740000005800
-1000000000,can0,5B3#0400000000000400
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,3C1#7B551FBBD90BA92E
-1000000000,can0,03C#000004002C000000
-1000000000,can0,207#040460482ADED518
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CBBF6FFF
-1000000000,can0,4C9#01F915820D02F64B
-1000000000,can0,522#DF7FD00079E0001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,295#0000000000001840
-1000000000,can0,0D0#727504644D01A000
-1000000000,can0,033#000770000F8007D0
-1000000000,can0,580#000000039E080000
-1000000000,can0,434#026000AB1FB109B0
-1000000000,can0,6E0#015D015B016A016A
-1000000000,can0,0D7#0000020080000000
-1000000000,can0,498#87FFBFFC56806883
-1000000000,can0,1D6#020F828030240580
-1000000000,can0,577#000008000000014E
-1000000000,can0,230#F3000002EC001800
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200840000002D980
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#20525602080975FC
-1000000000,can0,162#00080363EA11F4CE
-1000000000,can0,0A7#0010FB24C12D70A0
-1000000000,can0,497#0000000000000000
-1000000000,can0,69E#044004801FC01582
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0F4#9A0C010204B10240
-1000000000,can0,125#9000415F437D7160
-1000000000,can0,6E0#015D015B016A016B
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#1E80200C020028A0
-1000000000,can0,0D0#7A7504644B01A100
-1000000000,can0,033#000768000FC007D0
-1000000000,can0,274#00F22FED507C8E3D
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,26E#0106408288EA0A04
-1000000000,can0,354#200840000002D980
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,28B#0000000000000000
-1000000000,can0,0A7#0010FBA4C12D80A0
-1000000000,can0,00E#20525602080975F0
-1000000000,can0,2D2#0000100000000000
-1000000000,can0,125#9000415F437D5360
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,4FD#11370A4D490ACA88
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CC3FAFFF
-1000000000,can0,522#DF7FD0007968001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#0000000396880000
-1000000000,can0,0D0#027504645A01A100
-1000000000,can0,033#0007E0000C0007D0
-1000000000,can0,434#028AA0AB2FC129D0
-1000000000,can0,6E0#015E015B016B016B
-1000000000,can0,2B7#0020284000008040
-1000000000,can0,498#87FFBFFC548068C4
-1000000000,can0,230#F2000002EC001A00
-1000000000,can0,3C1#7B551FBB988C692E
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200880000002CA00
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,162#00080363EA11F4CE
-1000000000,can0,0A7#0010F9A4C12D80A0
-1000000000,can0,69E#044004801FC015A2
-1000000000,can0,125#9000415F437D3560
-1000000000,can0,6E0#015E015E016C016B
-1000000000,can0,153#00000000000C0002
-1000000000,can0,295#0000000000001840
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,19C#029C200C020028A0
-1000000000,can0,0D0#0A7504645801A200
-1000000000,can0,033#0007D8000C4007D0
-1000000000,can0,274#00F221FB507C8E3D
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8098410000488
-1000000000,can0,354#200880000002CA00
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,0A7#0010F8A4C12D80A0
-1000000000,can0,407#50015FF014C0BD60
-1000000000,can0,125#9000415F437D1760
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0CCBF8FFF
-1000000000,can0,522#DF7FD00078F0001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#000000038F080000
-1000000000,can0,434#02AAA0AB3FE139E0
-1000000000,can0,0D0#127504645701A200
-1000000000,can0,033#0007D0000C8007D0
-1000000000,can0,6E0#015F015E016C016B
-1000000000,can0,30A#202D3001D2E80A00
-1000000000,can0,1C4#017002002841BA02
-1000000000,can0,2A4#4E1E011C040898D0
-1000000000,can0,498#87FFBFFC52806905
-1000000000,can0,32D#00000420AC010020
-1000000000,can0,230#F1000002EC001C00
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200840000002C300
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#2052560208097602
-1000000000,can0,162#00080363EA11F4CE
-1000000000,can0,0A7#0010FB24C12D70A0
-1000000000,can0,69E#044004801FC015A2
-1000000000,can0,125#9000415F437CF960
-1000000000,can0,3C1#7B551FBB188CE92E
-1000000000,can0,6E0#015F015F016C016B
-1000000000,can0,4E7#0000001503670000
-1000000000,can0,153#00000000000C0002
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,662#4EA0000040000000
